item_order,QKQ-0218S,QKQ-0218SD,XMJQ-0218S,NMYH-0215S,XMJQ-0215S,QKQ-0215S,NMYH-0218S,FMB-0215S,YMH-0218SD,ZZL-0218S,JH-0215S,YW10-0215S,JH-0218S,XXB-0215S,PSH-0418S,NJHL-0218S,NMYH-0225S,CBZP-0218S,YGKQ-0418SD,PKQL-0418S,084-0218S,084-0215S,LMW-0218S,PGBL-0418S,5-0218S,LMW-0215S,XMJQ-0218SD,MNH-0215S,XXB-0218S,NBSY-0215S,ZYF-0215S,NJHL-0218SD,YW10-0218S,QSYM-0218SD,XMJQ-0225S,YHXM-0218S,YW1-0218S,CGS-0218S,QKQ-0225S,QSYM-0225S,MNH-0218S,FMB-0218S,QSYM-0218S,YDBS-0218S,YGKQ-0418S,YHXM-0225S,NBSY-0218S,NBSY-0225S,PSHL-0418S,KLXQ-0218S,YHXM-0215S,YDBS-0215S,ZYF-0218S,CBZP-0215S,NJYH-0218S,HYBW-0218S,GHSS-0218S-D,YW10-0225S,KLXQ-0218SD,SL-0218S,QSYM-0215S,084-0225S,QKQ-0225SD,XXB-0218SD,YDBS-0225S,HYBW-0215S,KLXQ-0215S,KLXQ-0225SD,YGFX-0218S,XYHX-0215S,XYHX-0218S,5-0218SD,GDMY-0218S,XYHX-0218SD,5-0215S,PSXH-0418SD,MNH-0218SD,YDH-0215S,CGS-0218SD,5-0225S,YSH-0215S,YDH-0218S,5-0225SD,YMH-0215S,YW1-0215S,NDSF-0218S,YW1-0218SD,YGFX-0218SD,XYHX-0225S,XYHX-0225SD,PSXH-0418S,YMH-0218S,YW1-0225S,XXB-0225S,GDMY-0215S,GDMY-0218SD,YSH-0218S,YDBS-0218SD,CGS-0215S,YH-0218S,YH-0225S,LTNS-0215S,YDH-0225S,SRBW-0218S,YDH-0218SD,YGFX-0215S,ZQB-0215S,YW8-0218SD,NSLH-0215S,YDH-0235S,YH-0215S,LTNS-0218S,SL-0225S,YW8-0218S,YW8-0215S,LTNS-0218SD,NHQL-0218S,NHQL-0215S,ZQB-0218S,NHJB-0218S,NSLH-0218S,CGYM-0218S,GGXK-0418S,NJBB-0218S,GDMY-0225S,ZYF-0218SD,CGYM-0235S,PDLL-0418S,GGXK-0418SD,ZQB-0225S,NHLP-0218S,NHJB-0215S,GHSS-0218S,GHSS-0225SD,GDMY-0225SD,LTNS-0225SD,CGYM-0215S,MNH-0225S,SL-0215S,ZYF-0225S,LSXBJ-0418S,YGFX-0225SD,SRBW-0215S,SRBW-0218SD,SRBW-0225S,HT9-0225S,YGF-0218S,YHXM-0218SD,NDSF-0225S,HYBW-0225S,PAM-0218S,HT9-0215S,HT9-0218S,NBSY-0225SD,XXB-0235S,JH-0225S,NDSF-0215S,FMB-0225S,NBSY-0218SD,YGFX-0225S
order409,47,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
order1,100,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
order66,41,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
order316,5,14,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
order322,47,15,35,0,12,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
order293,14,0,0,6,0,20,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
order237,49,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
order122,72,8,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
order127,41,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
order216,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
