item_order,YTM-0218S,MNH-0218S,MNH-0218SD,MNH-0215S,YGKQ-0418S,XXB-0218S,YTM-0215S,5-0218S,NJYH-0215S,MNH-0225S,SRBW-0215S,QKQ-0218S,QKQ-0215S,PSXH-0418S,YSH-0218S,YTM-0225S,NDSF-0218S,NJYH-0218S,QKQ-0218SD,XXB-0215S,PKQL-0418S,YSH-0215S,XXB-0218SD,YDBS-0215S,PSXH-0418SD,CBZP-0218S,JH-0218S,CGS-0218S,LMW-0218S,NJYH-0218SD,NBSY-0235S,SRBW-0218S,YDBS-0218S,YSH-0218SD,NJYH-0225S,NJHL-0218S,YDBS-0225S,NBSY-0215S,CBZP-0215S,NSLH-0235S,YTM-0235S,NSLH-0215S,PDLL-0418S,JH-0215S,YMH-0218S,PKQL-0418SD,YDBS-0218SD,NBSY-0218S,NJHL-0215S,QKQ-0225S,MNH-0225SD,084-0218S,YW1-0218S,YHXM-0218S,084-0215S,084-0225S,YW1-0215S,YHXM-0215S,YHXM-0218SD,PGBL-0418S,YW1-0225S,084-0218SD,YW1-0218SD,YHXM-0225S,YW1-0235S,LSXBJ-0418S,PHYB-0418S,YW1-0225SD,QSYM-0218S,PGBL-0418SD,PDLL-0418SD,QSYM-0215S,PSHL-0418SD,5-0215S,PSHL-0418S,084-0225SD,NDSF-0215S,XMJQ-0218S,XMJQ-0225S,NBSY-0225S,NBSY-0218SD,XMJQ-0215S,XMJQ-0218SD,GGXK-0418S,NHLP-0218S,FMB-0235S,ZYF-0218S,XMJQ-0225SD,SL-0218S,5-0218SD,NJHL-0218SD,SL-0215S,FMB-0218S,NHLP-0215S,HT9-0218S,JH-0225S,LMW-0225S,LMW-0215S,YMH-0215S,LMW-0218SD,PAM-0215S,YMH-0218SD,NHJB-0215S,HYBW-0218S,YMH-0225S,ZYF-0215S,PAM-0218S,GDMY-0218S,ZZL-0218S,GDMY-0215S,XYHX-0218SD,HYBW-0215S,FMB-0215S,PBWS-0418S,PAM-0218SD,YGKQ-0418SD,NMYH-0215S,ZYF-0218SD,ZQB-0218SD,PTJH-0418S,ZQB-0218S,NMYH-0218S,GHSS-0218S,PBWS-0418SD,XXB-0225S,GDMY-0218SD,HYBW-0225S,NMYH-0225S,XYHX-0218S,GHSS-0215S,YH-0218S,ZQB-0215S,PSH-0418S,GHSS-0225S,NDSF-0225S,YMH-0225SD,YH-0225S,XXB-0235S,XYHX-0215S,ZZL-0215S,YH-0215S,QKQ-0235S
order267,18,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
order17,24,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
order16,74,0,0,0,0,0,23,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
order21,80,0,0,0,0,0,37,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
order116,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
order299,0,49,16,4,0,0,0,0,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
order260,0,15,9,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
order35,0,41,2,23,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
order362,0,81,18,9,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
order259,0,13,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
