item_order,order_area,order_num
order205,20026117.0,61
order219,20193365.0,62
order517,12277017.5,46
order450,33299367.5,126
order237,66120050.8,208
order466,8781013.5,36
order312,20104459.5,88
order303,14568383.75,27
order565,24150150.0,53
order174,18633123.5,78
order66,4945292.0,20
order319,14370368.0,37
order86,28832717.0,82
order287,24735711.0,63
order485,18644841.0,44
order58,26088603.75,84
order475,18990162.0,43
order203,11018428.0,24
order268,12208041.5,36
order518,13579282.0,56
order482,6264583.0,48
order84,16532184.0,25
order206,5515024.0,26
order204,44142093.0,110
order200,17988695.5,51
order91,15735415.0,32
order574,15614424.899999999,54
order4,7223999.0,33
order497,27296901.9,95
order323,3197459.0,26
order561,48577010.0,146
order469,43357041.5,111
order155,10372969.0,26
order316,19346046.5,76
order468,27708311.0,66
order236,45483545.0,72
order470,12440110.0,43
order496,16637604.8,68
order235,6718973.0,15
order83,15807788.0,64
order220,25200109.5,66
order382,5607302.0,34
order154,13706558.5,63
order563,9412088.5,34
order202,19665322.0,35
order233,13894461.8,27
order59,4506950.0,13
order61,5773835.0,28
order159,3754881.0,16
order346,1850044.0,5
order201,16299102.2,33
order519,35009911.5,126
order158,6571170.0,33
order250,24728169.0,75
order472,1905475.5,17
order567,14609918.0,21
order232,17233660.9,57
order269,17433977.0,47
order217,16154665.5,36
order418,13266125.5,45
order520,15094343.0,45
order231,18822775.0,55
order424,17320663.9,72
order566,15984958.0,35
order156,16143771.0,45
order121,4442188.0,18
order474,37462535.0,94
order105,3350061.0,13
order191,20741743.0,55
order60,10606801.5,50
order603,23660140.0,53
order449,2356860.0,15
order423,3120523.0,18
order486,4527005.5,16
order85,11829742.5,19
order560,3366743.0,22
order63,279456.0,2
order329,3567463.5,16
order467,16873796.0,38
order234,17371683.5,27
order458,9257034.5,35
order160,8346330.0,29
order92,11727545.5,26
order604,29976562.4,79
order471,6589919.0,26
order240,23298199.5,36
order221,4585557.0,9
order82,16387705.5,25
order457,11875986.0,21
order296,4521291.0,13
order548,1793258.0,9
order122,760062.0,5
order57,4165400.5,26
order562,46666883.5,159
order227,8280124.4,35
order130,38483036.5,113
order342,2786185.0,11
order500,22501634.25,66
order340,2767667.0,10
order435,4148066.0,34
order436,30056824.0,71
order442,20549550.0,60
order344,29526999.2,83
order110,19663870.650000002,45
order107,15207683.0,26
order120,16502558.25,34
order488,3311366.0,12
order116,9698785.5,39
order306,64097658.0,125
order12,7397184.0,23
order229,22389851.25,63
order137,17486330.0,63
order166,7704031.5,25
order363,5494271.5,28
order386,59618736.5,204
order385,15964710.0,25
order444,9452608.5,63
order108,13969584.0,70
order510,11105695.25,44
order493,46782202.5,139
order88,8574980.5,61
order42,8873865.0,47
order514,3487157.5,22
order512,10946434.000000002,44
order391,36406544.5,105
order378,4462781.0,18
order434,15343672.0,37
order483,31808027.5,91
order578,8862013.5,26
order504,18340189.0,36
order242,21276887.75,59
order246,7126388.0,29
order307,22120225.0,73
order400,12048939.0,36
order290,19807963.5,42
order362,46051211.0,90
order308,7341678.0,23
order10,23960310.5,67
order443,28223908.5,93
order387,17021910.0,65
order390,32233849.0,71
order27,17901139.0,40
order484,47409677.6,178
order448,5232487.0,25
order245,30412945.0,140
order401,27161001.0,90
order38,5423416.5,28
order498,9066571.0,22
order37,23571169.0,58
order136,3683201.0,19
order134,4078284.0,18
order343,5518452.0,37
order511,2570392.0,17
order341,4848361.0,16
order388,10327394.0,25
order243,17907724.0,28
order396,6948711.0,19
order64,1740105.5,10
order447,9553348.0,37
order241,20079404.5,55
order13,3884051.0,28
order135,10125885.0,25
order11,14530542.5,48
order109,11823056.299999999,27
order398,13867666.0,21
order516,3727742.0,27
order6,5795958.0,24
order384,15245362.0,25
order399,15556982.0,37
order228,12432517.75,38
order397,11598963.0,21
order349,9663856.0,22
order454,9509859.5,59
order309,2548782.0,15
order230,4754152.0,18
order445,5289152.4,17
order133,11432952.0,34
order501,3137070.6999999993,11
order244,12222613.5,39
order118,5886678.5,25
order524,1213370.0,3
order456,2502922.0,7
order339,2921476.0,4
order288,39808464.0,104
order30,12891793.750000002,33
order94,38382950.2,153
order407,15183097.7,54
order197,16421567.0,26
order70,31483726.0,94
order452,18134496.5,55
order171,9290580.0,33
order491,29585246.5,78
order194,11509795.5,33
order409,46352612.0,128
order365,25199715.0,53
order225,3015113.0,17
order455,70229098.65,198
order253,17696899.0,42
order173,40762802.5,108
order425,22171816.5,65
order405,14805634.0,56
order408,8714894.5,54
order22,14712258.350000001,52
order373,2953501.0,11
order143,26955209.0,81
order462,20996062.5,85
order18,18630527.25,87
order69,29543208.5,106
order256,8641249.0,28
order96,33391727.5,90
order168,17286306.0,52
order254,24550364.5,76
order406,22863350.0,49
order481,29036169.25,91
order352,23246630.5,73
order193,14277985.5,37
order257,22945863.0,49
order255,23680372.0,97
order380,18068017.0,44
order195,16471267.5,47
order453,18348110.0,63
order367,3759592.0,30
order366,7301466.0,42
order464,3823849.0,16
order439,11270707.0,33
order328,3238845.5999999996,14
order169,13128110.5,57
order31,2105217.5,10
order277,61731291.0,106
order24,4644851.0,27
order68,30303928.5,57
order325,9070258.0,24
order95,5270658.0,52
order147,24944955.0,84
order23,12671213.5,63
order196,12887987.0,23
order161,6594588.0,14
order375,19434293.5,70
order104,10614685.0,26
order67,18947029.5,51
order146,11099252.5,35
order81,19773757.0,39
order298,4877026.0,14
order101,14115937.5,41
order252,26184881.0,60
order381,1109234.0,9
order247,21600060.5,52
order426,4064168.5,24
order170,22049348.0,58
order7,3928177.0,33
order103,16668744.0,25
order172,17419049.0,32
order427,10437820.5,35
order533,276428.0,2
order157,2502858.5,15
order441,15558176.299999999,53
order226,1947657.0,7
order327,5909488.1,29
order102,7673180.0,22
order258,17151591.5,38
order75,16401670.0,40
order97,14315771.399999999,26
order440,7289655.95,22
order144,28252736.0,53
order1,1303557.0,8
order465,2757702.0,9
order249,117932.0,2
order87,959618.0,5
order372,1709084.0,6
order383,406945.0,1
order345,163964.0,1
order463,69408.0,2
order433,64260.0,1
order20,488026.0,2
order162,19186265.0,40
order114,3076432.25,14
order49,24874226.0,60
order76,34165679.0,72
order477,16874357.5,46
order489,10452321.5,50
order559,37262943.5,105
order597,22888194.75,87
order553,67461056.0,132
order326,1982865.0,11
order543,5863600.0,29
order100,21932208.0,59
order163,20796270.5,76
order358,24921002.25,92
order494,17275625.5,62
order185,17110718.0,70
order586,37251217.5,130
order377,36910209.5,86
order78,10547632.5,44
order416,21394989.5,53
order556,15041738.5,55
order79,34006984.5,97
order429,26984170.0,75
order376,4120661.0,31
order392,13716750.5,44
order596,27752127.0,67
order80,30722746.0,69
order601,27997263.75,97
order50,12232926.0,36
order370,12729487.0,44
order413,17761339.5,69
order600,19618335.0,53
order52,29436754.5,87
order348,19130053.0,84
order28,17710704.0,37
order549,30909137.0,91
order576,43097601.5,120
order286,14990903.95,90
order278,42172172.5,151
order300,31082668.0,131
order542,28997374.5,93
order558,18374000.0,35
order29,12237209.5,29
order588,16749891.5,49
order129,23968529.75,56
order368,19764772.0,64
order276,21372703.0,98
order186,17808190.5,53
order552,18080632.0,39
order132,22319761.8,58
order8,12714561.0,36
order267,17013141.0,40
order479,7797012.0,30
order555,23651530.5,61
order575,18719809.0,56
order599,4819729.5,33
order428,17743438.0,74
order403,5121565.0,17
order587,27626677.0,100
order598,31846454.0,120
order415,20794368.0,52
order412,3737349.0,16
order39,18589950.0,62
order139,20993218.5,54
order602,15453263.0,93
order41,4327694.0,28
order115,2598864.8999999994,15
order112,14212921.45,48
order551,8968459.0,21
order26,11036039.0,22
order299,11337135.5,30
order131,26783975.25,51
order513,3342509.9000000004,20
order417,6056141.0,34
order77,17521586.0,30
order432,2855535.5,12
order359,7256586.0,48
order113,9165529.0,29
order402,11965215.0,40
order595,9746508.0,18
order478,3637428.0,13
order124,2633852.5,18
order550,14880406.0,27
order318,5496048.0,24
order473,2340641.0,20
order414,2851059.0,14
order355,7751279.0,22
order431,7744162.25,31
order411,9739691.0,28
order357,6904897.0,20
order222,4594728.0,17
order476,1367023.0,8
order480,3782693.0,14
order430,2876633.5,10
order317,2695199.0,11
order515,413385.0,2
order522,2833932.0,7
order446,1328944.0,7
order127,296808.0,2
order213,1552608.0,2
order324,1266947.0,3
order211,14010616.0,35
order577,7611179.0,23
order36,36592557.4,121
order313,24694603.0,42
order164,26316203.5,64
order492,22243553.0,75
order503,10461100.0,42
order459,22103831.8,71
order142,62244531.0,187
order461,19922658.5,65
order389,11000459.0,21
order581,17130088.0,43
order304,8447749.0,20
order153,18568419.0,37
order150,37566065.0,65
order594,7049261.5,35
order508,25387395.5,64
order495,26640149.150000002,108
order540,24574313.5,66
order55,5849900.0,68
order528,23091234.0,62
order117,19569643.5,79
order582,14975468.0,43
order223,4674933.5,41
order261,2541574.5,16
order93,1831301.0,17
order198,18304127.0,52
order539,7227111.5,37
order216,7145166.0,22
order73,7451329.0,65
order305,9605738.4,23
order460,30039753.0,89
order271,4498688.0,27
order32,29158185.5,69
order499,26312586.25,110
order529,5564089.5,20
order538,19439437.0,48
order534,7270480.5,36
order535,11044693.5,53
order527,6268117.000000001,21
order509,32707483.0,125
order151,18441395.0,42
order165,13241640.5,40
order149,24868912.75,76
order536,4077018.0,12
order379,23758919.0,85
order72,34722122.5,103
order393,45262991.0,103
order111,2133971.5,17
order123,3119294.0,17
order369,7103750.0,37
order199,20367635.7,78
order56,15090884.0,46
order487,3432955.0,21
order531,18281483.0,73
order371,9085246.5,28
order209,44594530.900000006,165
order17,9902170.0,42
order126,3906704.0,14
order270,3456075.0,10
order152,16790997.0,40
order212,14489210.75,34
order361,4345387.0,26
order119,7311829.0,26
order215,6272501.5,31
order374,12085689.0,37
order420,9088172.5,28
order16,14090530.0,21
order315,8688408.5,13
order537,14147363.0,25
order9,4793843.0,28
order310,19542384.5,43
order71,20516591.0,43
order421,15685010.0,34
order210,15685074.5,37
order584,19459694.0,53
order506,10017843.5,39
order106,22744395.0,51
order74,11030523.5,32
order208,35845422.5,105
order145,4806557.0,30
order89,4037608.0,17
order15,4887212.0,13
order526,16647072.25,42
order33,6888307.8,26
order525,12582472.0,35
order579,11508362.0,30
order593,7535122.5,57
order557,2735498.5,14
order248,23233830.5,76
order25,14556602.0,32
order564,7105966.5,36
order507,6610734.0,21
order125,5052420.0,44
order364,5611971.5,32
order35,17868642.5,53
order289,4868277.5,21
order214,9967789.5,17
order182,2820998.0,13
order360,9132354.5,56
order394,7949784.0,16
order3,17278077.5,37
order554,10311720.75,51
order314,20309542.0,41
order505,10105956.5,29
order585,4438221.55,15
order53,12608585.0,35
order14,3303239.0,14
order54,5498660.0,30
order167,4059308.75,26
order530,4962715.5,16
order404,1118605.0,12
order5,2463544.0,12
order280,2067120.0,30
order51,5868430.0,16
order580,1926303.5,10
order353,1125916.0,8
order34,17218688.0,38
order395,8621082.0,11
order2,20255968.0,37
order62,2195767.5,9
order207,1466556.0,1
order90,1469872.0,4
order141,2553056.0,4
order266,94168.0,2
order532,136312.0,3
order148,1594404.0,1
order284,37459631.3,92
order591,23707934.8,73
order218,41829989.0,115
order176,20032095.5,46
order175,11813533.3,34
order283,26282336.5,107
order273,8590106.649999999,38
order523,35703886.0,104
order545,1306421.5,13
order224,12623943.5,69
order293,18313612.0,39
order251,3496700.0,28
order180,23334335.5,76
order572,7997872.0,32
order181,29608399.6,92
order275,11228196.5,36
order179,7361257.25,25
order190,25797972.5,54
order47,25882693.0,48
order265,21107624.25,65
order335,5387228.0,35
order332,31706584.0,99
order48,43568393.5,88
order46,15711634.5,25
order239,4231053.0,16
order331,29881591.5,92
order44,21814016.0,56
order438,36690017.5,120
order569,25984179.25,90
order98,14480725.75,74
order45,28781509.5,108
order40,16583438.0,46
order338,18431531.0,35
order263,16540746.5,55
order262,10335568.0,19
order188,22921860.5,81
order279,45681635.0,152
order183,18736507.5,53
order333,50854474.25,129
order128,21841701.0,45
order419,11826823.3,32
order568,26601266.0,79
order189,6736050.5,26
order177,5277556.0,14
order356,23307241.5,56
order291,19754425.0,50
order354,22845364.5,60
order592,20017279.5,39
order521,17159076.75,77
order192,12323519.5,48
order264,26300838.5,90
order294,26101583.0,49
order260,23771329.5,70
order140,7794584.5,48
order570,37265751.0,75
order451,19234420.5,31
order21,5002735.5,36
order138,18150479.599999998,25
order43,27196593.0,74
order297,3098364.0,34
order272,13001587.5,39
order295,17623554.0,39
order292,18059764.400000002,59
order282,30590401.0,80
order583,13219285.899999999,38
order422,8018166.0,16
order178,3401672.0,17
order573,7888821.5,26
order544,4964436.0,18
order301,20023815.5,66
order490,19270760.0,44
order187,27339085.5,76
order259,23079354.5,65
order437,16123133.0,44
order502,4810145.0,25
order350,39396515.0,72
order184,11945450.5,46
order330,4663533.0,31
order302,1441435.0,17
order589,19117924.0,31
order311,4803504.5,32
order410,7485890.0,16
order546,13059174.5,20
order334,17000111.25,56
order281,5492243.5,30
order65,1136520.0,4
order238,9952145.0,25
order99,15685386.100000001,32
order285,3554284.0,14
order571,7511759.0,18
order347,2424840.0,19
order351,9613943.0,21
order336,2497297.0,27
order337,9574194.0,26
order590,4236701.5,20
order322,221344.0,3
order274,11490920.25,35
order321,1082539.0,3
order547,10994007.0,18
order541,1857204.0,4
order320,178676.0,3
order19,186735.0,1
